Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,7,16,2,12
9am,2,6,9,5,8
9am,3,4,4,14,7
10am,1,8,5,11,1
10am,2,7,14,6,3
10am,3,5,10,4,15
11am,1,13,13,2,9
11am,2,3,16,10,4
11am,3,11,15,14,2
12pm,1,12,4,5,5
12pm,2,10,14,1,12
12pm,3,8,6,6,16
1pm,1,9,15,13,3
1pm,2,1,2,2,5
1pm,3,3,11,11,8
2pm,1,12,13,10,7
2pm,2,9,1,4,8
2pm,3,14,14,2,11
3pm,1,14,9,10,6
3pm,2,1,3,5,13
3pm,3,13,1,6,10
4pm,1,9,12,11,6
4pm,2,8,7,3,10
4pm,3,7,2,12,11
