Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,13,14,3,6
9am,2,14,9,11,3
9am,3,1,5,2,15
10am,1,7,14,5,16
10am,2,9,12,1,7
10am,3,10,10,6,2
11am,1,10,13,14,6
11am,2,5,4,4,3
11am,3,7,1,12,12
12pm,1,3,2,2,8
12pm,2,9,1,8,13
12pm,3,11,7,6,14
1pm,1,15,11,8,16
1pm,2,13,9,5,5
1pm,3,4,10,3,7
2pm,1,10,5,15,3
2pm,2,9,11,12,4
2pm,3,5,8,11,6
3pm,1,4,13,12,15
3pm,2,2,16,13,12
3pm,3,1,2,14,1
4pm,1,6,15,7,11
4pm,2,2,9,8,10
4pm,3,14,4,15,8
