Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,9,15,12,11
9am,2,11,6,14,3
9am,3,3,4,1,12
10am,1,7,15,10,9
10am,2,5,11,2,14
10am,3,6,12,12,3
11am,1,4,6,6,9
11am,2,13,1,14,10
11am,3,8,13,10,4
12pm,1,1,3,9,1
12pm,2,7,2,14,14
12pm,3,2,10,11,8
1pm,1,5,13,11,9
1pm,2,3,5,8,3
1pm,3,10,7,9,2
2pm,1,12,6,2,1
2pm,2,4,11,1,7
2pm,3,5,8,7,4
3pm,1,3,14,10,10
3pm,2,12,9,1,5
3pm,3,13,11,6,13
4pm,1,8,2,13,12
4pm,2,11,5,7,7
4pm,3,14,15,4,8
