Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,1,4,9,8
9am,2,10,10,7,5
9am,3,3,9,8,12
10am,1,5,13,10,7
10am,2,12,3,4,10
10am,3,6,8,3,1
11am,1,1,2,5,3
11am,2,7,9,2,4
11am,3,8,11,9,6
12pm,1,1,12,10,6
12pm,2,2,13,8,2
12pm,3,3,10,11,7
1pm,1,11,8,12,9
1pm,2,6,3,7,7
1pm,3,9,12,4,5
2pm,1,5,10,2,6
2pm,2,6,11,4,13
2pm,3,9,1,7,2
3pm,1,11,5,5,4
3pm,2,2,7,1,1
3pm,3,10,11,12,2
