Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,7,6,4,10
9am,2,3,4,1,7
9am,3,9,11,8,3
10am,1,11,11,10,6
10am,2,8,5,1,8
10am,3,7,9,3,1
11am,1,6,7,9,5
11am,2,10,3,2,2
11am,3,11,10,5,8
12pm,1,5,6,6,3
12pm,2,7,4,9,2
12pm,3,8,7,4,9
1pm,1,8,1,10,10
1pm,2,4,11,3,5
1pm,3,2,6,1,9
2pm,1,6,1,11,2
2pm,2,7,7,2,8
2pm,3,5,5,10,4
