Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,6,2,10,12
9am,2,7,4,4,1
9am,3,1,5,11,7
10am,1,4,8,11,13
10am,2,10,11,3,7
10am,3,2,9,5,2
11am,1,6,3,7,13
11am,2,5,8,3,1
11am,3,1,4,9,6
12pm,1,8,10,6,7
12pm,2,1,3,4,12
12pm,3,9,9,11,11
1pm,1,10,1,2,6
1pm,2,11,4,5,10
2pm,1,3,4,2,13
2pm,2,5,5,8,11
2pm,3,7,2,1,8
3pm,1,10,3,8,9
3pm,2,9,12,7,10
3pm,3,4,5,3,6
