Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,1,1,6,2
9am,2,14,3,11,6
9am,3,9,13,12,14
10am,1,8,6,7,5
10am,2,10,4,2,8
10am,3,4,12,13,13
11am,1,11,11,10,9
11am,2,3,3,13,15
11am,3,8,7,9,1
12pm,1,14,8,4,7
12pm,2,12,3,2,12
12pm,3,7,2,11,10
1pm,1,5,15,6,12
1pm,2,15,14,10,5
1pm,3,1,4,8,10
2pm,1,5,9,4,5
2pm,2,3,6,6,4
2pm,3,2,11,13,2
3pm,1,14,10,9,15
3pm,2,15,9,2,1
3pm,3,12,6,10,7
4pm,1,6,3,15,11
4pm,2,3,13,7,1
4pm,3,1,8,5,14
