Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,10,7,2,2
9am,2,8,11,5,4
9am,3,1,9,3,10
10am,1,7,14,6,1
10am,2,12,12,2,10
10am,3,1,15,4,6
11am,1,13,16,7,3
11am,2,12,4,4,5
11am,3,6,7,9,11
12pm,1,9,12,10,16
12pm,2,2,4,13,13
12pm,3,1,2,5,14
1pm,1,5,10,11,6
1pm,2,3,3,8,14
1pm,3,2,8,6,5
2pm,1,7,15,9,9
2pm,2,8,5,13,6
2pm,3,10,3,11,13
3pm,1,7,12,1,7
3pm,2,9,8,12,2
3pm,3,4,1,3,13
4pm,1,12,11,3,15
4pm,2,4,9,10,8
4pm,3,11,1,8,16
