Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,9,9,12,13
9am,2,1,8,8,4
9am,3,4,2,7,11
10am,1,10,2,11,7
10am,2,2,11,12,6
10am,3,6,3,4,13
11am,1,13,7,7,4
11am,2,1,6,11,1
11am,3,8,5,10,9
12pm,1,3,12,4,10
12pm,2,2,2,5,3
12pm,3,7,5,12,1
1pm,1,13,12,11,9
1pm,2,5,11,6,8
1pm,3,8,13,3,7
2pm,1,4,8,2,7
2pm,2,12,3,10,4
2pm,3,9,10,13,6
3pm,1,5,12,9,5
3pm,2,3,9,6,1
3pm,3,1,10,7,13
