Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,13,11,2,8
9am,2,9,9,12,6
9am,3,3,7,6,12
10am,1,5,11,7,7
10am,2,10,14,8,9
10am,3,11,10,13,3
11am,1,2,3,9,1
11am,2,4,4,12,8
11am,3,1,14,11,2
12pm,1,5,10,8,12
12pm,2,1,9,7,1
12pm,3,10,8,6,5
1pm,1,12,5,13,2
1pm,2,2,13,5,4
1pm,3,3,6,8,15
2pm,1,2,14,7,12
2pm,2,1,6,10,7
2pm,3,3,4,11,11
3pm,1,7,2,4,10
3pm,2,11,13,6,1
3pm,3,5,8,9,15
4pm,1,1,3,3,5
4pm,2,12,15,6,11
4pm,3,4,13,13,14
