Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,5,7,6,11
9am,2,9,5,3,12
9am,3,12,9,4,6
10am,1,5,3,4,2
10am,2,13,13,3,4
10am,3,2,12,12,1
11am,1,13,10,6,14
11am,2,1,8,11,13
11am,3,2,9,7,2
12pm,1,7,7,4,14
12pm,2,11,11,3,6
12pm,3,10,3,8,12
1pm,1,13,1,1,11
1pm,2,6,8,9,2
1pm,3,4,10,8,5
2pm,1,12,14,1,5
2pm,2,13,7,10,8
2pm,3,5,4,2,6
3pm,1,11,4,8,9
3pm,2,7,1,10,13
3pm,3,9,3,12,10
