Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,10,5,3,9
9am,2,7,7,6,6
9am,3,11,12,9,13
10am,1,2,13,1,4
10am,2,8,12,4,7
10am,3,6,1,9,14
11am,1,8,1,1,8
11am,2,3,10,4,11
11am,3,2,5,7,3
12pm,1,11,6,3,3
12pm,2,5,12,7,4
12pm,3,6,13,10,2
1pm,1,1,11,9,5
1pm,2,10,14,8,4
1pm,3,11,9,4,8
2pm,1,2,6,9,10
2pm,2,5,9,1,14
2pm,3,3,1,7,2
3pm,1,8,2,11,10
3pm,2,2,7,10,8
3pm,3,5,11,6,3
