Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,9,7,8,9
9am,2,7,8,5,2
9am,3,6,15,3,1
10am,1,12,3,3,13
10am,2,2,6,1,11
10am,3,11,4,7,15
11am,1,5,3,11,6
11am,2,10,1,8,12
11am,3,12,2,1,9
12pm,1,4,12,5,15
12pm,2,6,10,2,2
12pm,3,3,14,8,5
1pm,1,4,8,2,3
1pm,2,11,11,9,13
1pm,3,3,10,10,7
2pm,1,11,12,6,9
2pm,2,10,14,9,15
2pm,3,5,4,1,5
3pm,1,7,9,2,5
3pm,2,8,8,1,13
3pm,3,4,14,12,10
4pm,1,4,11,10,2
4pm,2,12,1,9,4
4pm,3,7,6,6,7
