Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,1,11,4,2
9am,2,3,12,5,3
9am,3,10,6,9,10
10am,1,9,1,3,7
10am,2,7,10,8,14
10am,3,4,6,6,3
11am,1,11,2,10,9
11am,2,1,13,12,5
11am,3,5,1,2,11
12pm,1,12,7,7,4
12pm,2,10,8,2,14
12pm,3,11,10,4,12
1pm,1,8,4,6,1
1pm,2,9,9,4,13
1pm,3,3,5,7,11
2pm,1,3,14,12,6
2pm,2,9,8,6,2
2pm,3,5,7,8,5
3pm,1,11,3,12,8
3pm,2,5,9,1,4
3pm,3,2,12,7,13
