Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,7,13,3,8
9am,2,1,1,2,2
9am,3,9,10,5,5
10am,1,8,12,1,8
10am,2,11,4,6,6
10am,3,12,2,4,11
11am,1,9,1,13,3
11am,2,8,14,10,13
11am,3,3,6,2,11
12pm,1,14,3,2,9
12pm,2,4,7,11,10
12pm,3,6,1,10,8
1pm,1,14,14,9,12
1pm,2,1,5,12,4
1pm,3,13,10,6,9
2pm,1,13,7,10,12
2pm,2,3,4,5,2
2pm,3,7,3,4,14
3pm,1,5,9,12,13
3pm,2,14,7,7,6
3pm,3,8,5,11,11
