Time slot,Court,Man A,Woman A,Man B,Woman B
9am,1,11,12,10,5
9am,2,2,10,7,4
9am,3,4,8,6,9
10am,1,9,4,1,5
10am,2,4,11,8,3
10am,3,10,7,3,2
11am,1,1,10,8,6
11am,2,5,11,12,1
11am,3,11,9,7,2
12pm,1,6,6,12,5
12pm,2,4,1,3,4
12pm,3,7,12,5,3
1pm,1,8,8,2,7
1pm,2,10,9,9,10
1pm,3,6,2,1,11
2pm,1,2,12,9,1
2pm,2,12,3,11,7
2pm,3,3,8,5,6
